id	org	files	has_meta	has_r	usable
GSE140881	Homo sapiens	MTX, TSV	no	no	no
GSE148371	Homo sapiens	CSV	no	no	no
GSE145838	Homo sapiens	H5	no	no	no
GSE150728	Homo sapiens	RDS	no	yes	yes
GSE148665	Homo sapiens	CSV	no	no	no
GSE143417	Homo sapiens	TAR, TSV	no	no	no
GSE147104	Homo sapiens; Dengue virus	MTX, TSV	no	no	no
GSE147103	Homo sapiens; Dengue virus 1 Nauru/West Pac/1974	MTX, TSV	no	no	no
GSE150637	Homo sapiens	MTX, TSV	no	no	no
GSE150556	Homo sapiens	TXT	no	no	no
GSE150311	Homo sapiens	MTX, TSV	no	no	no
GSE142637	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE146990	Homo sapiens	H5	no	no	no
GSE146799	Homo sapiens	CSV	no	no	no
GSE150321	Homo sapiens	CSV	no	no	no
GSE136831	Homo sapiens	MTX, RDS, TXT	yes	yes	yes
GSE150226	Homo sapiens; Mus musculus	TXT	no	no	no
GSE148820	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE143880	Homo sapiens	TXT	no	no	no
GSE140819	Homo sapiens	CSV, H5	no	no	no
GSE150115	Homo sapiens	CSV, TXT	no	no	no
GSE131007	Homo sapiens	TSV	no	no	no
GSE150084	Homo sapiens	MTX, TSV	no	no	no
GSE150083	Homo sapiens	MTX, TSV	no	no	no
GSE150025	Homo sapiens	TXT	no	no	no
GSE150021	Homo sapiens	TXT	no	no	no
GSE150020	Homo sapiens	CNT	no	no	no
GSE147349	Homo sapiens	H5, MTX, TSV	no	no	no
GSE144568	Homo sapiens	RDATA, TAR	no	yes	yes
GSE138002	Homo sapiens	CSV, MTX	no	no	no
GSE122970	Homo sapiens	MTX, TSV	no	no	no
GSE116106	Homo sapiens	MTX, TSV	no	no	no
GSE142538	Homo sapiens	TXT	no	no	no
GSE132757	Homo sapiens	H5	no	no	no
GSE129017	Homo sapiens	BED, TXT	no	no	no
GSE148729	Homo sapiens	TSV	yes	no	yes
GSE137524	Homo sapiens	CSV	no	no	no
GSE114446	Homo sapiens	TXT	no	no	no
GSE148162	Homo sapiens	TSV	no	no	no
GSE146026	Homo sapiens	TSV	no	no	no
GSE145896	Homo sapiens	CSV	no	no	no
GSE133894	Homo sapiens	TXT	no	no	no
GSE131416	Homo sapiens	TXT	no	no	no
GSE131409	Homo sapiens	CSV	no	no	no
GSE126131	Homo sapiens	TSV	no	no	no
GSE149614	Homo sapiens	TXT	no	no	no
GSE149583	Homo sapiens	MTX, TXT	yes	no	yes
GSE145928	Homo sapiens	H5	no	no	no
GSE132048	Homo sapiens	CSV, TAR, TXT	no	no	no
GSE147457	Homo sapiens	TSV	no	no	no
GSE145843	Homo sapiens	H5	no	no	no
GSE124310	Homo sapiens	TAR	no	no	no
GSE143686	Homo sapiens	MTX, TSV	no	no	no
GSE143685	Homo sapiens	CSV	no	no	no
GSE132065	Homo sapiens	BED, MTX, TSV	no	no	no
GSE149280	Homo sapiens	TSV	no	no	no
GSE149136	Homo sapiens	MTX, TSV, XLSX	no	no	no
GSE149100	Homo sapiens	TSV	no	no	no
GSE149099	Homo sapiens	XLSX	no	no	no
GSE148829	Macaca fascicularis; Mus musculus; Macaca mulatta; Homo sapiens	CSV, TXT	no	no	no
GSE145163	Homo sapiens	TXT	no	no	no
GSE145926	Homo sapiens	CSV, H5	no	no	no
GSE145307	Homo sapiens	MTX, TSV	no	no	no
GSE139535	Homo sapiens	MTX, TSV	no	no	no
GSE132396	Homo sapiens	TSV	no	no	no
GSE135253	Homo sapiens	MTX, TSV	no	no	no
GSE127937	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE148842	Homo sapiens	TXT	no	no	no
GSE146771	Homo sapiens	TXT	yes	no	yes
GSE135992	Homo sapiens	CSV	no	no	no
GSE144870	Homo sapiens	MTX, TSV	no	no	no
GSE148658	Homo sapiens	TXT	no	no	no
GSE137353	Homo sapiens	TXT	no	no	no
GSE141552	Homo sapiens	MTX, TSV	no	no	no
GSE131886	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE130228	Homo sapiens	MTX, TSV	no	no	no
GSE131351	Homo sapiens; Mus musculus	TXT	no	no	no
GSE128879	Homo sapiens	CSV, TXT	no	no	no
GSE146221	Homo sapiens	MTX, TSV	no	no	no
GSE137877	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE148345	Homo sapiens	TSV	no	no	no
GSE143190	Homo sapiens	TXT	no	no	no
GSE137496	Homo sapiens	TXT	no	no	no
GSE131984	Homo sapiens	RDATA, TXT	yes	yes	yes
GSE131983	Homo sapiens	TSV	no	no	no
GSE148190	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE143492	Homo sapiens	TXT	no	no	no
GSE143453	Homo sapiens	CSV, TXT	no	no	no
GSE143452	Homo sapiens	CSV	no	no	no
GSE142347	Homo sapiens	TXT	no	no	no
GSE134174	Homo sapiens	RDATA, TXT	yes	yes	yes
GSE120409	Mus musculus; Homo sapiens	BED, H5, TXT	no	no	no
GSE147863	Homo sapiens	H5	no	no	no
GSE144735	Homo sapiens	TXT	no	no	no
GSE132465	Homo sapiens	TXT	no	no	no
GSE132257	Homo sapiens	TXT	no	no	no
GSE147989	Homo sapiens	H5	no	no	no
GSE141030	Homo sapiens	CSV, MTX, TSV, TXT	no	no	no
GSE139280	Homo sapiens	ZIP	no	no	no
GSE125188	Homo sapiens	MTX, TSV	no	no	no
GSE147794	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE142116	Homo sapiens	TXT	no	no	no
GSE130973	Homo sapiens	MTX, RDS, TSV	no	yes	yes
GSE135325	Homo sapiens	CSV, FASTA, MTX, TSV	no	no	no
GSE132758	Homo sapiens	MTX, TSV	no	no	no
GSE131135	Homo sapiens	RDATA	no	yes	yes
GSE131099	Homo sapiens	TXT	no	no	no
GSE128796	Homo sapiens; Mus musculus	none	no	no	no
GSE128791	Homo sapiens	TXT	no	no	no
GSE128790	Homo sapiens	TXT	no	no	no
GSE119324	Homo sapiens	TXT	no	no	no
GSE119323	Homo sapiens	TSV, TXT, XLSX	no	no	no
GSE131907	Homo sapiens	TXT	no	no	no
GSE145140	Homo sapiens; Mus musculus	TXT	no	no	no
GSE145139	Homo sapiens	TXT	no	no	no
GSE145137	Homo sapiens; Mus musculus	TXT, XLSX	no	no	no
GSE141834	Homo sapiens	BW, TXT	no	no	no
GSE147206	Homo sapiens	TAR	no	no	no
GSE147424	Homo sapiens	TXT	no	no	no
GSE147405	Homo sapiens	CSV	yes	no	yes
GSE145347	Homo sapiens	MTX, TSV	no	no	no
GSE135497	Homo sapiens; Mus musculus	CSV, TXT	no	no	no
GSE127266	Homo sapiens	TXT	no	no	no
GSE147259	Homo sapiens	CSV, TSV	no	no	no
GSE146974	Homo sapiens	MTX, TSV	no	no	no
GSE147202	Homo sapiens	CSV, TSV	yes	no	yes
GSE125497	Homo sapiens	CSV	no	no	no
GSE147203	Homo sapiens; Mus musculus	H5, TSV	no	no	no
GSE142465	Homo sapiens; Mus musculus	H5, MTX, TSV, TXT	no	no	no
GSE147066	Homo sapiens	TXT	yes	no	yes
GSE123359	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE135710	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE133054	Mus musculus; Homo sapiens	CSV	no	no	no
GSE146826	synthetic construct; Homo sapiens	CSV	no	no	no
GSE136974	Homo sapiens	MTX, TSV	no	no	no
GSE146763	Homo sapiens	MTX, TSV	no	no	no
GSE146712	Homo sapiens	NWK, TXT	no	no	no
GSE138857	Homo sapiens	MTX, TSV	no	no	no
GSE133022	Homo sapiens	XLSX	no	no	no
GSE146373	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE137941	Homo sapiens	TXT	no	no	no
GSE146399	Homo sapiens	BED, CSV	no	no	no
GSE146194	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE140989	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE128822	Homo sapiens	CSV	no	no	no
