id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE152014	Homo sapiens	TAR	no	no	no	no	2020	Jun	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152014//suppl/filelist.txt
GSE148339	Mus musculus	MTX, RDATA, TSV, TXT	no	no	yes	yes	2020	Apr	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148339//suppl/filelist.txt
GSE144090	Mus musculus	MTX, TSV	no	error_parse	no	no	2020	Jan	22	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144090//suppl/filelist.txt
GSE140440	Homo sapiens	TXT	no	no	no	no	2019	Nov	15	Mol. Cancer Res.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140440//suppl/filelist.txt
GSE138835	Homo sapiens	MTX, TSV	no	no	no	no	2019	Oct	14	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138835//suppl/filelist.txt
GSE137829	Homo sapiens	TXT	no	no	no	no	2019	Sep	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137829//suppl/filelist.txt
GSE112302	Homo sapiens	TXT, XLSX	no	no	no	no	2018	Mar	25	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112302//suppl/filelist.txt
GSE157144	Mus musculus	TXT	no	error_parse	no	no	2020	Aug	30	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157144//suppl/filelist.txt
GSE151285	Mus musculus	none	no	error_parse	no	no	2020	May	27	J. Clin. Invest.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151285//suppl/filelist.txt
GSE151284	Mus musculus	CSV, XLSX	no	error_parse	no	no	2020	May	27	J. Clin. Invest.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151284//suppl/filelist.txt
GSE150008	Mus musculus	TXT	no	error_parse	no	no	2020	May	06	Mol. Ther.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150008//suppl/filelist.txt
GSE148316	Mus musculus	BIGWIG, CSV, MTX, TSV	yes	error_parse	no	yes	2020	Apr	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148316//suppl/filelist.txt
GSE147322	Homo sapiens	TSV	no	error_parse	no	no	2020	Mar	20	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147322//suppl/filelist.txt
GSE142274	Mus musculus	TAR	no	no	no	no	2019	Dec	18	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142274//suppl/filelist.txt
GSE139819	Homo sapiens; Mus musculus	CSV, H5	no	no	no	no	2019	Nov	01	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139819//suppl/filelist.txt
GSE139534	Homo sapiens	H5	no	no	no	no	2019	Oct	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139534//suppl/filelist.txt
GSE133028	Homo sapiens	TXT	no	no	no	no	2019	Jun	19	Proc. Natl. Acad. Sci. U.S.A.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133028//suppl/filelist.txt
GSE157079	Mus musculus	BIGWIG, CSV, RDS, TXT	yes	error_parse	yes	yes	2020	Aug	28	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157079//suppl/filelist.txt
GSE157072	Mus musculus	TXT	no	error_parse	no	no	2020	Aug	28	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157072//suppl/filelist.txt
GSE157019	Homo sapiens	MTX, TSV	no	no	no	no	2020	Aug	27	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157019//suppl/filelist.txt
GSE156988	Homo sapiens; Mus musculus	TXT	no	error_parse	no	no	2020	Aug	27	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156988//suppl/filelist.txt
