id	usable	usable2	software_author
GSE124174	no	no	none
GSE124258	no	no	none
GSE124263	no	no	none
GSE124299	yes	meta	author
GSE124310	no	no	none
GSE124312	yes	meta	author
GSE124323	yes	meta	none
GSE124324	no	no	none
GSE124334	no	no	none
GSE124335	no	no	author
GSE124365	no	no	none
GSE124395	yes	object	author
GSE124425	no	no	author
GSE124437	no	no	none
GSE124454	no	no	none
GSE124472	no	no	none
GSE124477	no	no	none
GSE124488	no	no	none
GSE124494	no	no	author
GSE124560	no	no	none
GSE124562	no	no	author
GSE124577	no	no	none
GSE124675	yes	meta	author
GSE124691	no	no	author
GSE124703	no	no	none
GSE124728	no	no	none
GSE124731	yes	meta	author
GSE124742	no	no	author
GSE124796	no	no	none
GSE124822	no	no	author
GSE124847	no	no	none
GSE124862	no	no	none
GSE124872	yes	meta	author
GSE124875	no	meta	none
GSE124880	no	no	author
GSE124885	no	no	none
GSE124889	no	no	none
GSE124899	no	no	none
GSE124901	no	no	none
GSE124904	no	no	none
GSE124930	no	no	none
GSE124952	yes	meta	author
GSE124989	no	no	none
GSE124992	no	no	author
GSE125044	yes	meta	author
GSE125065	no	no	author
GSE125077	no	no	none
GSE125088	no	no	none
GSE125162	no	no	author
GSE125188	no	no	author
GSE125241	no	no	none
GSE125269	no	no	author
GSE125272	no	no	author
GSE125288	no	no	none
GSE125290	no	no	none
GSE125300	no	no	none
GSE125316	no	no	none
GSE125372	no	no	author
GSE125416	no	no	none
GSE125449	no	no	author
GSE125464	no	no	none
GSE125492	no	no	none
GSE125497	no	no	none
GSE125527	yes	meta	author
GSE125579	yes	meta	none
GSE125586	yes	meta	none
GSE125587	no	no	none
GSE125588	no	no	none
GSE125595	no	no	none
GSE125616	no	no	none
GSE125620	no	no	none
GSE125670	no	no	none
GSE125676	no	no	author
GSE125680	no	no	none
GSE125688	no	no	author
GSE125694	no	no	none
GSE125708	no	no	none
GSE125709	no	no	none
GSE125837	no	no	none
GSE125838	no	no	none
GSE125881	yes	meta	none
GSE125949	no	no	none
GSE125969	yes	meta	author
GSE125970	no	no	author
GSE126022	no	no	none
GSE126027	no	no	none
GSE126030	no	no	author
GSE126042	no	no	none
GSE126060	no	no	none
GSE126067	no	no	none
GSE126068	no	no	none
GSE126074	no	no	author
GSE126085	no	no	author
GSE126111	no	no	none
GSE126128	no	no	author
GSE126131	no	no	author
GSE126139	no	no	none
GSE126158	no	no	none
GSE126159	no	no	none
GSE126184	no	no	author
GSE126205	no	no	none
GSE126250	no	no	author
GSE126261	no	no	author
GSE126310	no	no	author
GSE126321	no	no	author
GSE126349	no	no	author
GSE126388	no	no	author
GSE126480	no	no	none
GSE126488	yes	object	author
GSE126497	no	no	none
GSE126500	no	no	none
GSE126539	no	no	author
GSE126574	no	no	none
GSE126579	no	no	author
GSE126647	no	no	author
GSE126657	no	no	author
GSE126707	no	no	author
GSE126714	no	no	author
GSE126770	no	no	author
GSE126780	no	no	author
GSE126783	no	no	author
GSE126815	no	no	none
GSE126820	no	no	none
GSE126834	no	no	none
GSE126836	no	no	author
GSE126891	no	no	none
GSE126924	no	no	none
GSE126954	yes	meta	author
GSE126966	no	no	none
GSE126967	no	no	none
GSE126968	no	no	none
GSE127005	yes	meta	none
GSE127193	no	no	none
GSE127202	no	no	author
GSE127221	yes	meta	none
GSE127235	no	no	none
GSE127249	no	no	none
GSE127266	no	no	none
GSE127298	no	no	none
GSE127465	yes	meta	author
GSE127470	no	no	none
GSE127471	no	no	none
GSE127683	no	no	none
GSE127724	no	no	none
GSE127754	no	no	none
GSE127774	yes	object	author
GSE127794	no	no	none
GSE127803	no	no	none
GSE127813	no	no	none
GSE127832	no	no	none
GSE127888	no	no	none
GSE127898	no	no	author
GSE127918	no	no	none
GSE127943	no	no	author
GSE127963	no	no	none
GSE127969	no	no	none
GSE127975	no	no	none
GSE127997	no	no	none
GSE128003	no	no	author
GSE128033	no	no	author
GSE128040	no	no	none
GSE128066	no	no	author
GSE128074	no	no	author
GSE128089	no	no	author
GSE128147	no	no	author
GSE128169	no	no	author
GSE128175	no	no	none
GSE128223	no	no	author
GSE128241	no	meta	none
GSE128243	no	no	none
GSE128273	no	no	author
GSE128276	no	no	none
GSE128306	no	no	none
GSE128331	no	no	none
GSE128334	no	no	none
GSE128357	no	no	author
GSE128393	no	no	none
GSE128416	no	no	none
GSE128423	no	no	author
GSE128464	yes	meta	none
GSE128518	yes	meta	author
GSE128525	yes	object	author
GSE128531	no	no	author
GSE128553	no	no	none
GSE128565	yes	object	none
GSE128639	no	no	author
GSE128671	no	no	none
GSE128691	no	no	none
GSE128738	no	no	author
GSE128743	no	no	author
GSE128762	no	no	author
GSE128790	no	no	none
GSE128791	no	no	none
GSE128793	no	no	none
GSE128794	no	no	none
GSE128818	no	no	author
GSE128822	no	no	none
GSE128855	no	no	author
GSE128879	no	no	none
GSE128890	no	no	none
GSE128892	no	no	none
GSE128908	no	no	author
GSE128916	no	no	none
GSE128933	no	no	none
GSE128934	no	no	author
GSE128944	no	no	none
GSE128963	no	no	none
GSE128971	no	no	none
GSE128974	no	no	none
GSE128982	no	no	author
GSE128985	no	no	none
GSE128987	no	no	none
GSE128991	no	meta	none
GSE128992	no	no	none
GSE129007	no	no	none
GSE129057	no	no	none
GSE129064	no	no	none
GSE129087	no	no	author
GSE129096	no	no	author
GSE129105	no	no	none
GSE129106	no	no	none
GSE129112	no	no	author
GSE129114	no	no	author
GSE129122	no	no	none
GSE129125	no	no	none
GSE129139	no	no	none
GSE129150	no	no	none
GSE129170	no	no	author
GSE129175	no	no	none
GSE129178	no	no	author
GSE129213	no	no	none
GSE129214	yes	meta	none
GSE129218	no	no	author
GSE129225	no	no	none
