id	year	usable	usable2
GSE103771	2017	no	no
GSE103772	2017	yes	meta
GSE103789	2017	no	no
GSE103840	2017	no	no
GSE103892	2017	no	no
GSE103920	2017	no	no
GSE103970	2017	yes	meta
GSE103976	2017	no	no
GSE104054	2017	yes	meta
GSE104154	2017	yes	meta
GSE104158	2017	no	no
GSE104276	2017	no	no
GSE104343	2017	no	no
GSE104379	2017	no	no
GSE104396	2017	no	no
GSE104406	2017	no	no
GSE104478	2017	no	no
GSE104490	2017	no	no
GSE104497	2017	no	no
GSE104525	2017	no	no
GSE104556	2017	no	no
GSE104701	2017	no	no
GSE104782	2017	yes	meta
GSE104842	2017	no	no
GSE104869	2017	no	no
GSE104899	2017	no	no
GSE104985	2017	no	no
GSE104987	2017	no	no
GSE105010	2017	yes	object
GSE105054	2017	no	no
GSE105115	2017	no	no
GSE105119	2017	no	no
GSE105211	2017	no	no
GSE105267	2017	no	no
GSE105454	2017	no	no
GSE106078	2017	no	no
GSE106118	2017	no	no
GSE106121	2017	no	no
GSE106202	2017	no	no
GSE106218	2017	no	no
GSE106219	2017	no	no
GSE106236	2017	no	no
GSE106245	2017	no	no
GSE106251	2017	no	no
GSE106268	2017	no	no
GSE106269	2017	no	no
GSE106273	2017	yes	meta
GSE106391	2017	no	no
GSE106447	2017	no	no
GSE106471	2017	no	no
GSE106472	2017	no	no
GSE106487	2017	no	no
GSE106489	2017	no	no
GSE106510	2017	no	no
GSE106514	2017	no	no
GSE106544	2017	no	no
GSE106587	2017	no	no
GSE106636	2017	no	no
GSE106663	2017	no	no
GSE106676	2017	no	no
GSE106678	2017	no	no
GSE106708	2017	no	no
GSE106850	2017	no	no
GSE106856	2017	no	no
GSE106872	2017	no	no
GSE106882	2017	no	no
GSE106888	2017	no	no
GSE106960	2017	no	no
GSE106973	2017	no	no
GSE107115	2017	no	no
GSE107122	2017	no	no
GSE107152	2017	no	no
GSE107153	2017	no	no
GSE107185	2017	no	no
GSE107220	2017	no	no
GSE107451	2017	yes	meta
GSE107493	2017	no	no
GSE107517	2017	no	no
GSE107527	2017	no	no
GSE107552	2017	no	no
GSE107585	2017	no	no
GSE107618	2017	no	no
GSE107632	2017	no	no
GSE107644	2017	yes	meta
GSE107646	2017	no	no
GSE107653	2017	yes	meta
GSE107711	2017	no	no
GSE107723	2017	no	no
GSE107727	2017	no	no
