id	usable
GSE129730	no
GSE122467	yes
GSE135769	no
GSE142277	no
GSE139598	yes
GSE131685	no
GSE139324	no
GSE138504	yes
GSE135704	no
GSE141044	no
GSE141275	no
GSE142267	yes
GSE132802	no
GSE125162	no
GSE135133	no
GSE129096	no
GSE135703	yes
GSE123904	yes
GSE142526	no
GSE139522	no
GSE123187	no
GSE137659	no
GSE143888	no
GSE142637	no
GSE114000	yes
GSE134157	no
GSE129105	no
GSE144444	no
GSE135382	yes
GSE143437	yes
GSE138222	yes
GSE131134	no
GSE141834	no
GSE140807	no
GSE142471	no
GSE135167	no
GSE146194	no
GSE132044	no
GSE133549	yes
GSE135325	no
GSE147259	yes
GSE124742	no
GSE145286	no
GSE130973	yes
GSE143758	no
GSE125188	no
GSE146811	no
GSE149457	no
GSE147203	yes
GSE132758	no
GSE127774	yes
GSE142564	yes
GSE133345	yes
GSE128243	no
GSE128879	no
GSE135497	no
GSE146026	no
GSE151137	no
GSE135893	yes
GSE136831	yes
GSE146912	no
GSE149689	no
GSE139891	no
GSE141862	no
GSE148837	yes
GSE155673	no
GSE140231	no
GSE125527	yes
GSE141851	no
GSE150311	no
GSE157277	no
GSE140023	yes
GSE140890	no
GSE150672	no
GSE150132	no
GSE155698	no
GSE154579	no
GSE138811	yes
GSE133466	no
GSE148507	yes
GSE160536	no
GSE156793	yes
GSE152184	no
GSE159745	yes
GSE136049	yes
GSE143753	yes
GSE75330	NA
GSE92377	NA
GSE99068	NA
GSE92522	NA
GSE95753	NA
GSE109404	NA
GSE85983	NA
GSE127893	NA
GSE133656	NA
GSE108989	NA
GSE135326	NA
GSE139409	NA
GSE12917	NA
GSE147528	NA
GSE150060	NA
GSE134285	NA
